org_id remap_id
36002 0
45076 1
59647 2
79829 3
79982 4
90653 5
106627 6
159829 7
186040 8
198581 9
210390 10
218767 11
227336 12
227520 13
236730 14
244510 15
255390 16
259366 17
283563 18
293007 19
309501 20
331871 21
342556 22
343934 23
371759 24
374293 25
376828 26
377604 27
390394 28
391033 29
421523 30
448221 31
472317 32
493747 33
510295 34
515584 35
528696 36
529779 37
534339 38
581181 39
584073 40
586119 41
587547 42
606290 43
611644 44
627283 45
629403 46
637033 47
647541 48
654256 49
657261 50
658203 51
665777 52
668995 53
677936 54
679665 55
683135 56
690515 57
695235 58
700826 59
733207 60
758018 61
765330 62
771665 63
800053 64
802006 65
814389 66
819012 67
820381 68
827049 69
839532 70
852634 71
854197 72
856322 73
870416 74
